날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1953-12-01,108,12.2,7.4,16.2
1953-12-02,108,5.6,1.4,9
1953-12-03,108,0.7,-4.2,4.6
1953-12-04,108,-4.2,-6.6,-0.5
1953-12-05,108,-3.1,-8.7,1
1953-12-06,108,0,-2.4,3.7
1953-12-07,108,1.9,-2.7,6.8
1953-12-08,108,4.2,-2.4,9.2
1953-12-09,108,3.7,0.6,6.5
1953-12-10,108,-0.7,-2.8,1.6
1953-12-11,108,-3.4,-6.1,-1.9
1953-12-12,108,-2.9,-7.3,-0.1
1953-12-13,108,2.7,-3.6,8.2
1953-12-14,108,3.3,0.4,7.3
1953-12-15,108,-0.4,-3.4,4.5
1953-12-16,108,3.1,-3.2,8.5
1953-12-17,108,3,-0.8,6.8
1953-12-18,108,1.7,-4.2,8.2
1953-12-19,108,2.2,-1,5.8
1953-12-20,108,1.1,-5.3,6.4
1953-12-21,108,-1.4,-5,2.7
1953-12-22,108,-1,-5.5,3.2
1953-12-23,108,-1.8,-5.6,1.8
1953-12-24,108,1.9,-2.8,5
1953-12-25,108,2.1,-0.6,4.2
1953-12-26,108,-2.8,-5.2,0.4
1953-12-27,108,-2.4,-6.6,0.1
1953-12-28,108,0.8,-2.5,4.4
1953-12-29,108,0.5,-3.8,5.4
1953-12-30,108,-3,-5.6,-0.2
1953-12-31,108,-3.7,-9.2,2.3
1954-01-01,108,-2.4,-7.8,4
1954-01-02,108,-1.5,-6.3,2
1954-01-03,108,0.7,-2.6,3.9
1954-01-04,108,1,-4,6.6
1954-01-05,108,0.4,-2.8,3.9
1954-01-06,108,-2.2,-5.9,1.3
1954-01-07,108,-1.4,-5.8,3.4
1954-01-08,108,-0.5,-6.2,2.9
1954-01-09,108,2.2,0.2,3.8
1954-01-10,108,-1.8,-6.3,1.4
1954-01-11,108,-5.1,-9.5,-1.5
1954-01-12,108,-1.4,-8.6,4.8
1954-01-13,108,0.3,-2.2,4.6
1954-01-14,108,0.8,-2,2.2
1954-01-15,108,0,-1.8,2.8
1954-01-16,108,0.6,-1.6,2.4
1954-01-17,108,1.3,-4,6.9
1954-01-18,108,1.4,-2.2,4.8
1954-01-19,108,1.5,-1.3,5.8
1954-01-20,108,4.7,-1.5,10.7
1954-01-21,108,2.8,0.5,5.5
1954-01-22,108,-2.1,-6.4,1.6
1954-01-23,108,-6,-9.1,-2.6
1954-01-24,108,-7.1,-9.8,-3.4
1954-01-25,108,-8.4,-11.7,-5
1954-01-26,108,-5.4,-11.9,-0.3
1954-01-27,108,-1.1,-5.6,3.4
1954-01-28,108,-5.8,-8.6,-2.1
1954-01-29,108,-5.4,-10.6,-0.4
1954-01-30,108,-3.6,-10,3.6
1954-01-31,108,-3.3,-6.2,-0.2
1954-02-01,108,-5,-8.2,-0.6
1954-02-02,108,-8.1,-12.3,-3.2
1954-02-03,108,-7.6,-13.9,-1.5
1954-02-04,108,-6.3,-12,0
1954-02-05,108,-5.6,-11.5,-0.2
1954-02-06,108,-5.1,-10.6,-0.5
1954-02-07,108,-3.2,-10.8,3
1954-02-08,108,0.1,-7.1,6.2
1954-02-09,108,1.5,-5.1,8.1
1954-02-10,108,4.8,-1.7,9.9
1954-02-11,108,7.1,5,8.6
1954-02-12,108,0.1,-4.3,5.7
1954-02-13,108,1.3,-4.3,6.3
1954-02-14,108,5,1.2,10.5
1954-02-15,108,3.5,1.4,6.1
1954-02-16,108,7.3,2.5,11
1954-02-17,108,1.7,-3.4,6.6
1954-02-18,108,-4.7,-8,-0.4
1954-02-19,108,-2.4,-9.5,3.8
1954-02-20,108,0.4,-3.7,5.6
1954-02-21,108,-3.8,-7.1,-0.4
1954-02-22,108,-2.7,-9.2,2.9
1954-02-23,108,1.9,-2.6,7
1954-02-24,108,5.3,-3.2,12.2
1954-02-25,108,8.8,5.9,10.8
1954-02-26,108,7.7,5.6,10
1954-02-27,108,6,3.4,7.8
1954-02-28,108,4.3,2,6.4
1954-03-01,108,5.4,3.2,7.2
1954-03-02,108,4.2,0.4,9.4
1954-03-03,108,-0.1,-2.6,4
1954-03-04,108,0,-3.6,4.6
1954-03-05,108,-1,-4.9,4.4
1954-03-06,108,-2.9,-6.8,1.2
1954-03-07,108,-2.8,-7.4,1.9
1954-03-08,108,0.6,-4.8,5.8
1954-03-09,108,1.9,-1.1,6.8
1954-03-10,108,5.1,-0.3,10.4
1954-03-11,108,5,-0.1,11.5
1954-03-12,108,-4,-6.6,0.2
1954-03-13,108,-3.3,-7.8,2
1954-03-14,108,0.9,-3.2,6
1954-03-15,108,0.8,-3.8,5.8
1954-03-16,108,2.2,-3,8
1954-03-17,108,4.2,-2.5,11.3
1954-03-18,108,6.2,-1.6,13.9
1954-03-19,108,2.1,-1.2,8.8
1954-03-20,108,0.1,-2.8,3.1
1954-03-21,108,1.1,-3.6,6.7
1954-03-22,108,1.8,-3.6,8.2
1954-03-23,108,4,-1.6,10.9
1954-03-24,108,6.4,1.1,12.8
1954-03-25,108,9.3,0.7,17
1954-03-26,108,12.2,3.9,18.2
1954-03-27,108,10.2,8,13.2
1954-03-28,108,7.4,3.4,12
1954-03-29,108,5.2,0.3,11.3
1954-03-30,108,6.5,0.6,12.2
1954-03-31,108,8.9,0.8,16.3
1954-04-01,108,12.2,5.7,20.2
1954-04-02,108,11.3,5.5,19.5
1954-04-03,108,11.6,5.6,19.9
1954-04-04,108,13.9,7.4,22.3
1954-04-05,108,15.4,11.6,22.4
1954-04-06,108,13.6,7.6,21.6
1954-04-07,108,8,6.1,11.8
1954-04-08,108,9.5,5.4,15.7
1954-04-09,108,10.5,3.4,19
1954-04-10,108,11.4,4.8,20.2
1954-04-11,108,10.6,6.2,15.6
1954-04-12,108,9.6,7,13.6
1954-04-13,108,10.1,4.4,17.9
1954-04-14,108,12.3,6.2,20.2
1954-04-15,108,13.8,7.8,20.6
1954-04-16,108,18.6,10.3,26.8
1954-04-17,108,14.1,11.2,17.8
1954-04-18,108,10.6,6.7,15.4
1954-04-19,108,7.9,5.2,11.9
1954-04-20,108,7.7,3.2,13.3
1954-04-21,108,8.9,3,15.1
1954-04-22,108,9.7,4.2,17
1954-04-23,108,12.4,3.7,21.2
